Date,Open,High,Low,Close,Adj Close,Volume
05-10-2012,5.94,5.962,5.736,5.778,5.778,4693000
08-10-2012,5.772,5.88,5.722,5.85,5.85,4448500
09-10-2012,5.824,5.824,5.65,5.674,5.674,5965000
10-10-2012,5.678,5.744,5.602,5.68,5.68,2518000
11-10-2012,5.788,5.796,5.65,5.664,5.664,2253000
12-10-2012,5.664,5.746,5.5,5.528,5.528,4938000
15-10-2012,5.604,5.61,5.372,5.466,5.466,7343500
16-10-2012,5.534,5.618,5.468,5.612,5.612,2396500
17-10-2012,5.65,5.768,5.56,5.764,5.764,3340000
18-10-2012,5.798,5.798,5.556,5.608,5.608,3705000
19-10-2012,5.566,5.64,5.46,5.548,5.548,5137000
22-10-2012,5.598,5.6,5.472,5.57,5.57,2351000
23-10-2012,5.476,5.712,5.474,5.678,5.678,3745000
24-10-2012,5.704,5.704,5.45,5.484,5.484,5082000
25-10-2012,5.56,5.56,5.49,5.504,5.504,2888500
26-10-2012,5.506,5.56,5.404,5.476,5.476,2387000
31-10-2012,5.54,5.67,5.474,5.626,5.626,3876000
01-11-2012,5.65,5.898,5.64,5.85,5.85,5120500
02-11-2012,5.854,5.91,5.71,5.784,5.784,5151500
05-11-2012,5.96,6.316,5.866,6.3,6.3,10244500
06-11-2012,6.122,6.24,5.99,6.23,6.23,11620000
07-11-2012,6.2,6.41,6.162,6.308,6.308,8572500
08-11-2012,6.202,6.376,6.188,6.262,6.262,6370000
09-11-2012,6.12,6.186,5.97,6.064,6.064,4315000
12-11-2012,6.058,6.284,6.032,6.214,6.214,2779500
13-11-2012,6.258,6.4,6.144,6.322,6.322,4991500
14-11-2012,6.392,6.424,6.24,6.276,6.276,4356500
15-11-2012,6.26,6.288,6.1,6.164,6.164,4920000
16-11-2012,6.23,6.4,6.118,6.368,6.368,4543500
19-11-2012,6.414,6.65,6.368,6.584,6.584,6962000
20-11-2012,6.56,6.62,6.382,6.6,6.6,4612500
21-11-2012,6.522,6.694,6.458,6.494,6.494,4816000
23-11-2012,6.52,6.566,6.34,6.426,6.426,2151500
26-11-2012,6.42,6.46,6.324,6.454,6.454,2479000
27-11-2012,6.426,6.532,6.304,6.43,6.43,4554000
28-11-2012,6.4,6.858,6.382,6.646,6.646,7626000
29-11-2012,6.688,6.8,6.574,6.738,6.738,5517000
30-11-2012,6.726,6.856,6.602,6.764,6.764,7101500
03-12-2012,6.778,7,6.7,6.924,6.924,10428500
04-12-2012,6.816,6.96,6.71,6.78,6.78,6316500
05-12-2012,6.764,6.838,6.716,6.742,6.742,3307500
06-12-2012,6.764,6.96,6.7,6.78,6.78,3302000
07-12-2012,6.86,6.898,6.77,6.834,6.834,3322000
10-12-2012,6.886,6.96,6.836,6.914,6.914,4649000
11-12-2012,6.92,7.1,6.892,7.056,7.056,7863000
12-12-2012,7.042,7.16,6.99,7.052,7.052,10319000
13-12-2012,7.052,7.06,6.55,6.722,6.722,10756500
14-12-2012,6.756,6.88,6.718,6.762,6.762,5115000
17-12-2012,6.754,6.9,6.75,6.88,6.88,4124500
18-12-2012,6.852,7.014,6.852,6.918,6.918,7769500
19-12-2012,6.95,7.052,6.904,6.922,6.922,6494000
20-12-2012,6.902,6.958,6.81,6.886,6.886,4606000
21-12-2012,6.788,6.834,6.716,6.8,6.8,7462000
24-12-2012,6.728,6.87,6.71,6.856,6.856,1879000
26-12-2012,6.792,6.9,6.7,6.718,6.718,3007000
